timestamp,datetime,event_type,resource_type,resource_id,details
725.0,2025-12-01T12:05:00+00:00,WagonARRIVEDEvent,wagon,W11268,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T8"", ""rejection_reason"": """", ""rejection_description"": """"}"
725.0,2025-12-01T12:05:00+00:00,WagonARRIVEDEvent,wagon,W11509,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T8"", ""rejection_reason"": """", ""rejection_description"": """"}"
725.0,2025-12-01T12:05:00+00:00,WagonARRIVEDEvent,wagon,W6557,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T8"", ""rejection_reason"": """", ""rejection_description"": """"}"
733.0,2025-12-01T12:13:00+00:00,WagonMOVINGEvent,wagon,W3926,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
733.0,2025-12-01T12:13:00+00:00,WagonMOVINGEvent,wagon,W5834,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
733.0,2025-12-01T12:13:00+00:00,WagonMOVINGEvent,wagon,W9460,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
733.0,2025-12-01T12:13:00+00:00,WagonMOVINGEvent,wagon,W9445,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
733.0,2025-12-01T12:13:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""collection1"", ""to_location"": ""retrofit"", ""purpose"": """"}"
733.0,2025-12-01T12:13:00+00:00,BatchTransportStarted,batch,BATCH_retrofit_4_4573425008,"{""destination"": ""retrofit"", ""wagon_count"": 4, ""locomotive_id"": ""LOCO_01""}"
753.25,2025-12-01T12:33:15+00:00,WagonARRIVEDEvent,wagon,W10356,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T9"", ""rejection_reason"": """", ""rejection_description"": """"}"
772.0,2025-12-01T12:52:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""track_19"", ""to_location"": ""WS_01"", ""purpose"": """"}"
777.0,2025-12-01T12:57:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W12394,"{""location"": ""WS_01"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
777.0,2025-12-01T12:57:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W9278,"{""location"": ""WS_01"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
779.0,2025-12-01T12:59:00+00:00,WagonRAKE_COUPLING_COMPLETEDEvent,wagon,W12394,"{""location"": ""WS_01"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
779.0,2025-12-01T12:59:00+00:00,WagonRAKE_COUPLING_COMPLETEDEvent,wagon,W9278,"{""location"": ""WS_01"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
779.0,2025-12-01T12:59:00+00:00,WagonMOVINGEvent,wagon,W12394,"{""location"": ""WS_01"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
779.0,2025-12-01T12:59:00+00:00,WagonMOVINGEvent,wagon,W9278,"{""location"": ""WS_01"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
779.0,2025-12-01T12:59:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""WS_01"", ""to_location"": ""retrofitted"", ""purpose"": """"}"
784.0,2025-12-01T13:04:00+00:00,WagonON_RETROFITTED_TRACKEvent,wagon,W12394,"{""location"": ""retrofitted"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
784.0,2025-12-01T13:04:00+00:00,WagonON_RETROFITTED_TRACKEvent,wagon,W9278,"{""location"": ""retrofitted"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
784.0,2025-12-01T13:04:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""retrofitted"", ""to_location"": ""track_19"", ""purpose"": """"}"
784.0,2025-12-01T13:04:00+00:00,BatchFormed,batch,BATCH_parking16_2_4575496784,"{""destination"": ""parking16"", ""wagon_count"": 2, ""locomotive_id"": """", ""wagon_ids"": ""W12394,W9278""}"
785.5,2025-12-01T13:05:30+00:00,WagonARRIVEDEvent,wagon,W6006,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T10"", ""rejection_reason"": """", ""rejection_description"": """"}"
785.5,2025-12-01T13:05:30+00:00,WagonARRIVEDEvent,wagon,W4440,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T10"", ""rejection_reason"": """", ""rejection_description"": """"}"
785.5,2025-12-01T13:05:30+00:00,WagonARRIVEDEvent,wagon,W10383,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T10"", ""rejection_reason"": """", ""rejection_description"": """"}"
793.0,2025-12-01T13:13:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W3926,"{""location"": ""retrofit"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
793.0,2025-12-01T13:13:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W5834,"{""location"": ""retrofit"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
793.0,2025-12-01T13:13:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W9460,"{""location"": ""retrofit"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
793.0,2025-12-01T13:13:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W9445,"{""location"": ""retrofit"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
793.0,2025-12-01T13:13:00+00:00,BatchArrivedAtDestination,batch,BATCH_retrofit_4_4573425008,"{""destination"": ""retrofit"", ""wagon_count"": 4, ""locomotive_id"": """"}"
795.0,2025-12-01T13:15:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""track_19"", ""to_location"": ""retrofit"", ""purpose"": """"}"
803.0,2025-12-01T13:23:00+00:00,WagonMOVINGEvent,wagon,W3926,"{""location"": ""retrofit"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
803.0,2025-12-01T13:23:00+00:00,WagonMOVINGEvent,wagon,W5834,"{""location"": ""retrofit"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
803.0,2025-12-01T13:23:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""retrofit"", ""to_location"": ""WS_01"", ""purpose"": """"}"
808.0,2025-12-01T13:28:00+00:00,WagonAT_WORKSHOPEvent,wagon,W3926,"{""location"": ""WS_01"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
808.0,2025-12-01T13:28:00+00:00,WagonAT_WORKSHOPEvent,wagon,W5834,"{""location"": ""WS_01"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
814.0,2025-12-01T13:34:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W3926,"{""location"": ""WS_01"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
814.0,2025-12-01T13:34:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W5834,"{""location"": ""WS_01"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
814.0,2025-12-01T13:34:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""retrofit"", ""to_location"": ""track_19"", ""purpose"": """"}"
