timestamp,datetime,change_type,total_locomotives,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
3819.0,2025-12-03T15:39:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3867.5,2025-12-03T16:27:30+00:00,released,2,2,1,0,1,100.0,50.0
3867.5,2025-12-03T16:27:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3884.5,2025-12-03T16:44:30+00:00,released,2,2,1,0,1,100.0,50.0
3884.5,2025-12-03T16:44:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3901.5,2025-12-03T17:01:30+00:00,released,2,2,1,0,1,100.0,50.0
3901.5,2025-12-03T17:01:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3927.5,2025-12-03T17:27:30+00:00,released,2,2,1,0,1,100.0,50.0
3927.5,2025-12-03T17:27:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4010.5,2025-12-03T18:50:30+00:00,released,2,2,1,0,1,100.0,50.0
4010.5,2025-12-03T18:50:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4058.5,2025-12-03T19:38:30+00:00,released,2,2,1,0,1,100.0,50.0
4058.5,2025-12-03T19:38:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4084.5,2025-12-03T20:04:30+00:00,released,2,2,1,0,1,100.0,50.0
4084.5,2025-12-03T20:04:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4101.5,2025-12-03T20:21:30+00:00,released,2,2,1,0,1,100.0,50.0
4101.5,2025-12-03T20:21:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4141.5,2025-12-03T21:01:30+00:00,released,2,2,1,0,1,100.0,50.0
4141.5,2025-12-03T21:01:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4167.5,2025-12-03T21:27:30+00:00,released,2,2,1,0,1,100.0,50.0
4167.5,2025-12-03T21:27:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4240.5,2025-12-03T22:40:30+00:00,released,2,2,1,0,1,100.0,50.0
4240.5,2025-12-03T22:40:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4365.0,2025-12-04T00:45:00+00:00,released,2,2,1,0,1,100.0,50.0
4365.0,2025-12-04T00:45:00+00:00,allocated,2,2,2,0,0,100.0,100.0
4379.5,2025-12-04T00:59:30+00:00,released,2,2,1,0,1,100.0,50.0
4379.5,2025-12-04T00:59:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4382.0,2025-12-04T01:02:00+00:00,released,2,2,1,0,1,100.0,50.0
4382.0,2025-12-04T01:02:00+00:00,allocated,2,2,2,0,0,100.0,100.0
4396.5,2025-12-04T01:16:30+00:00,released,2,2,1,0,1,100.0,50.0
4396.5,2025-12-04T01:16:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4422.5,2025-12-04T01:42:30+00:00,released,2,2,1,0,1,100.0,50.0
4422.5,2025-12-04T01:42:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4553.5,2025-12-04T03:53:30+00:00,released,2,2,1,0,1,100.0,50.0
4553.5,2025-12-04T03:53:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4570.5,2025-12-04T04:10:30+00:00,released,2,2,1,0,1,100.0,50.0
4570.5,2025-12-04T04:10:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4596.5,2025-12-04T04:36:30+00:00,released,2,2,1,0,1,100.0,50.0
4596.5,2025-12-04T04:36:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4684.5,2025-12-04T06:04:30+00:00,released,2,2,1,0,1,100.0,50.0
4684.5,2025-12-04T06:04:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4701.5,2025-12-04T06:21:30+00:00,released,2,2,1,0,1,100.0,50.0
4701.5,2025-12-04T06:21:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4718.5,2025-12-04T06:38:30+00:00,released,2,2,1,0,1,100.0,50.0
4718.5,2025-12-04T06:38:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4743.5,2025-12-04T07:03:30+00:00,released,2,2,1,0,1,100.0,50.0
4743.5,2025-12-04T07:03:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4744.5,2025-12-04T07:04:30+00:00,released,2,2,1,0,1,100.0,50.0
4744.5,2025-12-04T07:04:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4770.5,2025-12-04T07:30:30+00:00,released,2,2,1,0,1,100.0,50.0
4770.5,2025-12-04T07:30:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4874.5,2025-12-04T09:14:30+00:00,released,2,2,1,0,1,100.0,50.0
4874.5,2025-12-04T09:14:30+00:00,allocated,2,2,2,0,0,100.0,100.0
4962.0,2025-12-04T10:42:00+00:00,released,2,2,1,0,1,100.0,50.0
4962.0,2025-12-04T10:42:00+00:00,allocated,2,2,2,0,0,100.0,100.0
4979.0,2025-12-04T10:59:00+00:00,released,2,2,1,0,1,100.0,50.0
4979.0,2025-12-04T10:59:00+00:00,allocated,2,2,2,0,0,100.0,100.0
4996.0,2025-12-04T11:16:00+00:00,released,2,2,1,0,1,100.0,50.0
4996.0,2025-12-04T11:16:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5022.0,2025-12-04T11:42:00+00:00,released,2,2,1,0,1,100.0,50.0
5022.0,2025-12-04T11:42:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5029.5,2025-12-04T11:49:30+00:00,released,2,2,1,0,1,100.0,50.0
5029.5,2025-12-04T11:49:30+00:00,allocated,2,2,2,0,0,100.0,100.0
5055.5,2025-12-04T12:15:30+00:00,released,2,2,1,0,1,100.0,50.0
5055.5,2025-12-04T12:15:30+00:00,allocated,2,2,2,0,0,100.0,100.0
5153.0,2025-12-04T13:53:00+00:00,released,2,2,1,0,1,100.0,50.0
5153.0,2025-12-04T13:53:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5247.0,2025-12-04T15:27:00+00:00,released,2,2,1,0,1,100.0,50.0
5247.0,2025-12-04T15:27:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5292.0,2025-12-04T16:12:00+00:00,released,2,2,1,0,1,100.0,50.0
5292.0,2025-12-04T16:12:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5309.0,2025-12-04T16:29:00+00:00,released,2,2,1,0,1,100.0,50.0
5309.0,2025-12-04T16:29:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5326.0,2025-12-04T16:46:00+00:00,released,2,2,1,0,1,100.0,50.0
5326.0,2025-12-04T16:46:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5352.0,2025-12-04T17:12:00+00:00,released,2,2,1,0,1,100.0,50.0
5352.0,2025-12-04T17:12:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5378.0,2025-12-04T17:38:00+00:00,released,2,2,1,0,1,100.0,50.0
5378.0,2025-12-04T17:38:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5404.0,2025-12-04T18:04:00+00:00,released,2,2,1,0,1,100.0,50.0
5404.0,2025-12-04T18:04:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5483.0,2025-12-04T19:23:00+00:00,released,2,2,1,0,1,100.0,50.0
5483.0,2025-12-04T19:23:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5595.5,2025-12-04T21:15:30+00:00,released,2,2,1,0,1,100.0,50.0
5595.5,2025-12-04T21:15:30+00:00,allocated,2,2,2,0,0,100.0,100.0
5612.5,2025-12-04T21:32:30+00:00,released,2,2,1,0,1,100.0,50.0
5612.5,2025-12-04T21:32:30+00:00,allocated,2,2,2,0,0,100.0,100.0
5629.5,2025-12-04T21:49:30+00:00,released,2,2,1,0,1,100.0,50.0
5629.5,2025-12-04T21:49:30+00:00,allocated,2,2,2,0,0,100.0,100.0
5630.0,2025-12-04T21:50:00+00:00,released,2,2,1,0,1,100.0,50.0
5630.0,2025-12-04T21:50:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5655.5,2025-12-04T22:15:30+00:00,released,2,2,1,0,1,100.0,50.0
5655.5,2025-12-04T22:15:30+00:00,allocated,2,2,2,0,0,100.0,100.0
5681.5,2025-12-04T22:41:30+00:00,released,2,2,1,0,1,100.0,50.0
5681.5,2025-12-04T22:41:30+00:00,allocated,2,2,2,0,0,100.0,100.0
5761.0,2025-12-05T00:01:00+00:00,released,2,2,1,0,1,100.0,50.0
5761.0,2025-12-05T00:01:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5778.0,2025-12-05T00:18:00+00:00,released,2,2,1,0,1,100.0,50.0
5778.0,2025-12-05T00:18:00+00:00,allocated,2,2,2,0,0,100.0,100.0
5828.5,2025-12-05T01:08:30+00:00,released,2,2,1,0,1,100.0,50.0
5828.5,2025-12-05T01:08:30+00:00,allocated,2,2,2,0,0,100.0,100.0
5854.5,2025-12-05T01:34:30+00:00,released,2,2,1,0,1,100.0,50.0
5854.5,2025-12-05T01:34:30+00:00,allocated,2,2,2,0,0,100.0,100.0
5969.5,2025-12-05T03:29:30+00:00,released,2,2,1,0,1,100.0,50.0
5969.5,2025-12-05T03:29:30+00:00,allocated,2,2,2,0,0,100.0,100.0
5985.5,2025-12-05T03:45:30+00:00,released,2,2,1,0,1,100.0,50.0
5985.5,2025-12-05T03:45:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6002.5,2025-12-05T04:02:30+00:00,released,2,2,1,0,1,100.0,50.0
6002.5,2025-12-05T04:02:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6019.5,2025-12-05T04:19:30+00:00,released,2,2,1,0,1,100.0,50.0
6019.5,2025-12-05T04:19:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6100.5,2025-12-05T05:40:30+00:00,released,2,2,1,0,1,100.0,50.0
6100.5,2025-12-05T05:40:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6126.5,2025-12-05T06:06:30+00:00,released,2,2,1,0,1,100.0,50.0
6126.5,2025-12-05T06:06:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6150.5,2025-12-05T06:30:30+00:00,released,2,2,1,0,1,100.0,50.0
6150.5,2025-12-05T06:30:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6152.5,2025-12-05T06:32:30+00:00,released,2,2,1,0,1,100.0,50.0
6152.5,2025-12-05T06:32:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6289.5,2025-12-05T08:49:30+00:00,released,2,2,1,0,1,100.0,50.0
6289.5,2025-12-05T08:49:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6347.0,2025-12-05T09:47:00+00:00,released,2,2,1,0,1,100.0,50.0
6347.0,2025-12-05T09:47:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6364.0,2025-12-05T10:04:00+00:00,released,2,2,1,0,1,100.0,50.0
6364.0,2025-12-05T10:04:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6381.0,2025-12-05T10:21:00+00:00,released,2,2,1,0,1,100.0,50.0
6381.0,2025-12-05T10:21:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6407.0,2025-12-05T10:47:00+00:00,released,2,2,1,0,1,100.0,50.0
6407.0,2025-12-05T10:47:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6428.5,2025-12-05T11:08:30+00:00,released,2,2,1,0,1,100.0,50.0
6428.5,2025-12-05T11:08:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6454.5,2025-12-05T11:34:30+00:00,released,2,2,1,0,1,100.0,50.0
6454.5,2025-12-05T11:34:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6476.0,2025-12-05T11:56:00+00:00,released,2,2,1,0,1,100.0,50.0
6476.0,2025-12-05T11:56:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6538.0,2025-12-05T12:58:00+00:00,released,2,2,1,0,1,100.0,50.0
6538.0,2025-12-05T12:58:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6555.0,2025-12-05T13:15:00+00:00,released,2,2,1,0,1,100.0,50.0
6555.0,2025-12-05T13:15:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6572.0,2025-12-05T13:32:00+00:00,released,2,2,1,0,1,100.0,50.0
6572.0,2025-12-05T13:32:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6598.0,2025-12-05T13:58:00+00:00,released,2,2,1,0,1,100.0,50.0
6598.0,2025-12-05T13:58:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6623.0,2025-12-05T14:23:00+00:00,released,2,2,1,0,1,100.0,50.0
6623.0,2025-12-05T14:23:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6649.0,2025-12-05T14:49:00+00:00,released,2,2,1,0,1,100.0,50.0
6649.0,2025-12-05T14:49:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6729.0,2025-12-05T16:09:00+00:00,released,2,2,1,0,1,100.0,50.0
6729.0,2025-12-05T16:09:00+00:00,allocated,2,2,2,0,0,100.0,100.0
6780.5,2025-12-05T17:00:30+00:00,released,2,2,1,0,1,100.0,50.0
6780.5,2025-12-05T17:00:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6797.5,2025-12-05T17:17:30+00:00,released,2,2,1,0,1,100.0,50.0
6797.5,2025-12-05T17:17:30+00:00,allocated,2,2,2,0,0,100.0,100.0
6814.5,2025-12-05T17:34:30+00:00,released,2,2,1,0,1,100.0,50.0
6814.5,2025-12-05T17:34:30+00:00,allocated,2,2,2,0,0,100.0,100.0
