timestamp,datetime,change_type,total_locomotives,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
2614.5,2025-12-02T19:34:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2631.0,2025-12-02T19:51:00+00:00,released,2,2,1,0,1,100.0,50.0
2631.0,2025-12-02T19:51:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2657.0,2025-12-02T20:17:00+00:00,released,2,2,1,0,1,100.0,50.0
2657.0,2025-12-02T20:17:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2759.5,2025-12-02T21:59:30+00:00,released,2,2,1,0,1,100.0,50.0
2759.5,2025-12-02T21:59:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2776.5,2025-12-02T22:16:30+00:00,released,2,2,1,0,1,100.0,50.0
2776.5,2025-12-02T22:16:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2793.5,2025-12-02T22:33:30+00:00,released,2,2,1,0,1,100.0,50.0
2793.5,2025-12-02T22:33:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2796.0,2025-12-02T22:36:00+00:00,released,2,2,1,0,1,100.0,50.0
2796.0,2025-12-02T22:36:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2819.5,2025-12-02T22:59:30+00:00,released,2,2,1,0,1,100.0,50.0
2819.5,2025-12-02T22:59:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2822.0,2025-12-02T23:02:00+00:00,released,2,2,1,0,1,100.0,50.0
2875.0,2025-12-02T23:55:00+00:00,allocated,2,1,2,1,0,50.0,100.0
2892.0,2025-12-03T00:12:00+00:00,released,2,2,1,0,1,100.0,50.0
2892.0,2025-12-03T00:12:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2909.0,2025-12-03T00:29:00+00:00,released,2,2,1,0,1,100.0,50.0
2909.0,2025-12-03T00:29:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2935.0,2025-12-03T00:55:00+00:00,released,2,2,1,0,1,100.0,50.0
2935.0,2025-12-03T00:55:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2961.0,2025-12-03T01:21:00+00:00,released,2,2,1,0,1,100.0,50.0
2961.0,2025-12-03T01:21:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2966.0,2025-12-03T01:26:00+00:00,released,2,2,1,0,1,100.0,50.0
2966.0,2025-12-03T01:26:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3100.0,2025-12-03T03:40:00+00:00,released,2,2,1,0,1,100.0,50.0
3100.0,2025-12-03T03:40:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3117.0,2025-12-03T03:57:00+00:00,released,2,2,1,0,1,100.0,50.0
3117.0,2025-12-03T03:57:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3134.0,2025-12-03T04:14:00+00:00,released,2,2,1,0,1,100.0,50.0
3134.0,2025-12-03T04:14:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3145.0,2025-12-03T04:25:00+00:00,released,2,2,1,0,1,100.0,50.0
3145.0,2025-12-03T04:25:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3171.0,2025-12-03T04:51:00+00:00,released,2,2,1,0,1,100.0,50.0
3171.0,2025-12-03T04:51:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3197.0,2025-12-03T05:17:00+00:00,released,2,2,1,0,1,100.0,50.0
3197.0,2025-12-03T05:17:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3286.5,2025-12-03T06:46:30+00:00,released,2,2,1,0,1,100.0,50.0
3286.5,2025-12-03T06:46:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3303.5,2025-12-03T07:03:30+00:00,released,2,2,1,0,1,100.0,50.0
3303.5,2025-12-03T07:03:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3320.5,2025-12-03T07:20:30+00:00,released,2,2,1,0,1,100.0,50.0
3320.5,2025-12-03T07:20:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3346.5,2025-12-03T07:46:30+00:00,released,2,2,1,0,1,100.0,50.0
3346.5,2025-12-03T07:46:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3352.0,2025-12-03T07:52:00+00:00,released,2,2,1,0,1,100.0,50.0
3352.0,2025-12-03T07:52:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3372.5,2025-12-03T08:12:30+00:00,released,2,2,1,0,1,100.0,50.0
3372.5,2025-12-03T08:12:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3507.0,2025-12-03T10:27:00+00:00,released,2,2,1,0,1,100.0,50.0
