timestamp,datetime,resource_id,resource_type,location,previous_location,route_path
1117.5,2025-12-01T18:37:30+00:00,LOCO_01,locomotive,retrofitted,track_19,
1124.5,2025-12-01T18:44:30+00:00,LOCO_01,locomotive,parking16,retrofitted,
1169.5,2025-12-01T19:29:30+00:00,LOCO_02,locomotive,WS_02,track_19,
1176.5,2025-12-01T19:36:30+00:00,LOCO_02,locomotive,retrofitted,WS_02,
1176.5,2025-12-01T19:36:30+00:00,W10704,wagon,WS_02,,WS_02|retrofitted
1176.5,2025-12-01T19:36:30+00:00,W3675,wagon,WS_02,,WS_02|retrofitted
1181.5,2025-12-01T19:41:30+00:00,W10704,wagon,retrofitted,,
1181.5,2025-12-01T19:41:30+00:00,W3675,wagon,retrofitted,,
1181.5,2025-12-01T19:41:30+00:00,LOCO_02,locomotive,track_19,retrofitted,
1186.5,2025-12-01T19:46:30+00:00,LOCO_02,locomotive,WS_01,track_19,
1193.5,2025-12-01T19:53:30+00:00,LOCO_02,locomotive,retrofitted,WS_01,
1193.5,2025-12-01T19:53:30+00:00,W7132,wagon,WS_01,,WS_01|retrofitted
1193.5,2025-12-01T19:53:30+00:00,W8934,wagon,WS_01,,WS_01|retrofitted
1198.5,2025-12-01T19:58:30+00:00,W7132,wagon,retrofitted,,
1198.5,2025-12-01T19:58:30+00:00,W8934,wagon,retrofitted,,
1198.5,2025-12-01T19:58:30+00:00,LOCO_02,locomotive,track_19,retrofitted,
1205.5,2025-12-01T20:05:30+00:00,LOCO_02,locomotive,retrofit,track_19,
1213.5,2025-12-01T20:13:30+00:00,LOCO_02,locomotive,WS_02,retrofit,
1213.5,2025-12-01T20:13:30+00:00,W6253,wagon,retrofit,,retrofit|WS_02
1213.5,2025-12-01T20:13:30+00:00,W7747,wagon,retrofit,,retrofit|WS_02
1218.5,2025-12-01T20:18:30+00:00,W6253,wagon,WS_02,,
1218.5,2025-12-01T20:18:30+00:00,W7747,wagon,WS_02,,
1224.5,2025-12-01T20:24:30+00:00,W6253,wagon,WS_02,,
1224.5,2025-12-01T20:24:30+00:00,W7747,wagon,WS_02,,
1224.5,2025-12-01T20:24:30+00:00,LOCO_02,locomotive,track_19,WS_02,
1231.5,2025-12-01T20:31:30+00:00,LOCO_02,locomotive,retrofit,track_19,
1239.5,2025-12-01T20:39:30+00:00,LOCO_02,locomotive,WS_01,retrofit,
1239.5,2025-12-01T20:39:30+00:00,W10546,wagon,retrofit,,retrofit|WS_01
1239.5,2025-12-01T20:39:30+00:00,W7222,wagon,retrofit,,retrofit|WS_01
1244.5,2025-12-01T20:44:30+00:00,W10546,wagon,WS_01,,
1244.5,2025-12-01T20:44:30+00:00,W7222,wagon,WS_01,,
1246.0,2025-12-01T20:46:00+00:00,W3926,wagon,parking16,,
1246.0,2025-12-01T20:46:00+00:00,W5834,wagon,parking16,,
1246.0,2025-12-01T20:46:00+00:00,LOCO_01,locomotive,track_19,parking16,
1250.5,2025-12-01T20:50:30+00:00,W10546,wagon,WS_01,,
1250.5,2025-12-01T20:50:30+00:00,W7222,wagon,WS_01,,
1250.5,2025-12-01T20:50:30+00:00,LOCO_02,locomotive,track_19,WS_01,
1255.5,2025-12-01T20:55:30+00:00,LOCO_02,locomotive,collection1,track_19,
1306.0,2025-12-01T21:46:00+00:00,LOCO_01,locomotive,WS_02,track_19,
1313.0,2025-12-01T21:53:00+00:00,LOCO_01,locomotive,retrofitted,WS_02,
1313.0,2025-12-01T21:53:00+00:00,W6253,wagon,WS_02,,WS_02|retrofitted
1313.0,2025-12-01T21:53:00+00:00,W7747,wagon,WS_02,,WS_02|retrofitted
1318.0,2025-12-01T21:58:00+00:00,W6253,wagon,retrofitted,,
1318.0,2025-12-01T21:58:00+00:00,W7747,wagon,retrofitted,,
1318.0,2025-12-01T21:58:00+00:00,LOCO_01,locomotive,track_19,retrofitted,
1323.0,2025-12-01T22:03:00+00:00,LOCO_01,locomotive,WS_01,track_19,
1326.5,2025-12-01T22:06:30+00:00,LOCO_02,locomotive,retrofit,collection1,
1326.5,2025-12-01T22:06:30+00:00,W10383,wagon,collection1,,collection1|Mainline|retrofit
1326.5,2025-12-01T22:06:30+00:00,W2238,wagon,collection1,,collection1|Mainline|retrofit
