timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
1607.5,2025-12-02T02:47:30+00:00,LOCO_02,MOVING,retrofit,WS_01,
1618.5,2025-12-02T02:58:30+00:00,LOCO_02,MOVING,WS_01,track_19,
1623.5,2025-12-02T03:03:30+00:00,LOCO_02,MOVING,track_19,WS_02,
1630.5,2025-12-02T03:10:30+00:00,LOCO_02,MOVING,WS_02,retrofitted,
1635.5,2025-12-02T03:15:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1640.5,2025-12-02T03:20:30+00:00,LOCO_02,MOVING,track_19,collection2,
1658.0,2025-12-02T03:38:00+00:00,LOCO_01,MOVING,parking16,track_19,
1700.5,2025-12-02T04:20:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1705.5,2025-12-02T04:25:30+00:00,LOCO_02,MOVING,collection2,retrofit,
1720.0,2025-12-02T04:40:00+00:00,LOCO_01,MOVING,track_19,retrofit,
1728.0,2025-12-02T04:48:00+00:00,LOCO_01,MOVING,retrofit,WS_02,
1739.0,2025-12-02T04:59:00+00:00,LOCO_01,MOVING,WS_02,track_19,
1744.0,2025-12-02T05:04:00+00:00,LOCO_01,MOVING,track_19,WS_01,
1751.0,2025-12-02T05:11:00+00:00,LOCO_01,MOVING,WS_01,retrofitted,
1756.0,2025-12-02T05:16:00+00:00,LOCO_01,MOVING,retrofitted,track_19,
1761.0,2025-12-02T05:21:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
1761.0,2025-12-02T05:21:00+00:00,LOCO_01,MOVING,track_19,retrofitted,
1769.0,2025-12-02T05:29:00+00:00,LOCO_01,MOVING,retrofitted,parking16,
1774.5,2025-12-02T05:34:30+00:00,LOCO_02,MOVING,retrofit,track_19,
1779.5,2025-12-02T05:39:30+00:00,LOCO_02,PARKING,,,
1781.5,2025-12-02T05:41:30+00:00,LOCO_02,MOVING,track_19,retrofit,
1789.5,2025-12-02T05:49:30+00:00,LOCO_02,MOVING,retrofit,WS_01,
1800.5,2025-12-02T06:00:30+00:00,LOCO_02,MOVING,WS_01,track_19,
1805.5,2025-12-02T06:05:30+00:00,LOCO_02,MOVING,track_19,WS_02,
1812.5,2025-12-02T06:12:30+00:00,LOCO_02,MOVING,WS_02,retrofitted,
1817.5,2025-12-02T06:17:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1822.5,2025-12-02T06:22:30+00:00,LOCO_02,MOVING,track_19,collection1,
1882.5,2025-12-02T07:22:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1887.5,2025-12-02T07:27:30+00:00,LOCO_02,MOVING,collection1,retrofit,
1892.5,2025-12-02T07:32:30+00:00,LOCO_01,MOVING,parking16,track_19,
1954.5,2025-12-02T08:34:30+00:00,LOCO_01,MOVING,track_19,retrofit,
1956.5,2025-12-02T08:36:30+00:00,LOCO_02,MOVING,retrofit,track_19,
1961.5,2025-12-02T08:41:30+00:00,LOCO_02,PARKING,,,
1961.5,2025-12-02T08:41:30+00:00,LOCO_02,MOVING,track_19,WS_01,
1962.5,2025-12-02T08:42:30+00:00,LOCO_01,MOVING,retrofit,WS_02,
1968.5,2025-12-02T08:48:30+00:00,LOCO_02,MOVING,WS_01,retrofitted,
1973.5,2025-12-02T08:53:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1973.5,2025-12-02T08:53:30+00:00,LOCO_01,MOVING,WS_02,track_19,
1978.5,2025-12-02T08:58:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1978.5,2025-12-02T08:58:30+00:00,LOCO_02,MOVING,track_19,retrofitted,
1980.5,2025-12-02T09:00:30+00:00,LOCO_01,MOVING,track_19,retrofit,
1986.5,2025-12-02T09:06:30+00:00,LOCO_02,MOVING,retrofitted,parking16,
1988.5,2025-12-02T09:08:30+00:00,LOCO_01,MOVING,retrofit,WS_01,
1999.5,2025-12-02T09:19:30+00:00,LOCO_01,MOVING,WS_01,track_19,
2004.5,2025-12-02T09:24:30+00:00,LOCO_01,MOVING,track_19,collection2,
2064.5,2025-12-02T10:24:30+00:00,LOCO_01,ALLOCATED,,,batch_transport
2073.5,2025-12-02T10:33:30+00:00,LOCO_01,MOVING,collection2,retrofit,
2110.0,2025-12-02T11:10:00+00:00,LOCO_02,MOVING,parking16,track_19,
2154.5,2025-12-02T11:54:30+00:00,LOCO_01,MOVING,retrofit,track_19,
2159.5,2025-12-02T11:59:30+00:00,LOCO_01,PARKING,,,
2159.5,2025-12-02T11:59:30+00:00,LOCO_01,MOVING,track_19,WS_02,
2166.5,2025-12-02T12:06:30+00:00,LOCO_01,MOVING,WS_02,retrofitted,
2170.0,2025-12-02T12:10:00+00:00,LOCO_02,MOVING,track_19,WS_01,
2171.5,2025-12-02T12:11:30+00:00,LOCO_01,MOVING,retrofitted,track_19,
2176.5,2025-12-02T12:16:30+00:00,LOCO_01,ALLOCATED,,,batch_transport
2176.5,2025-12-02T12:16:30+00:00,LOCO_01,MOVING,track_19,retrofitted,
2177.0,2025-12-02T12:17:00+00:00,LOCO_02,MOVING,WS_01,retrofitted,
2182.0,2025-12-02T12:22:00+00:00,LOCO_02,MOVING,retrofitted,track_19,
2183.5,2025-12-02T12:23:30+00:00,LOCO_01,MOVING,retrofitted,parking16,
2189.0,2025-12-02T12:29:00+00:00,LOCO_02,MOVING,track_19,retrofit,
2197.0,2025-12-02T12:37:00+00:00,LOCO_02,MOVING,retrofit,WS_02,
2208.0,2025-12-02T12:48:00+00:00,LOCO_02,MOVING,WS_02,track_19,
2215.0,2025-12-02T12:55:00+00:00,LOCO_02,MOVING,track_19,retrofit,
2223.0,2025-12-02T13:03:00+00:00,LOCO_02,MOVING,retrofit,WS_01,
2234.0,2025-12-02T13:14:00+00:00,LOCO_02,MOVING,WS_01,track_19,
2239.0,2025-12-02T13:19:00+00:00,LOCO_02,MOVING,track_19,collection1,
2299.0,2025-12-02T14:19:00+00:00,LOCO_02,ALLOCATED,,,batch_transport
