timestamp,datetime,resource_id,resource_type,state,train_id,batch_id,rejection_reason
1080.0,2025-12-01T18:00:00+00:00,LOCO_02,locomotive,moving,,,
1080.0,2025-12-01T18:00:00+00:00,W10704,wagon,moving,,,
1080.0,2025-12-01T18:00:00+00:00,W3675,wagon,moving,,,
1080.0,2025-12-01T18:00:00+00:00,LOCO_01,locomotive,moving,,,
1085.0,2025-12-01T18:05:00+00:00,W10704,wagon,in_workshop,,,
1085.0,2025-12-01T18:05:00+00:00,W3675,wagon,in_workshop,,,
1087.0,2025-12-01T18:07:00+00:00,LOCO_01,locomotive,moving,,,
1087.0,2025-12-01T18:07:00+00:00,W9460,wagon,moving,,,
1087.0,2025-12-01T18:07:00+00:00,W9445,wagon,moving,,,
1088.75,2025-12-01T18:08:45+00:00,W12037,wagon,arrived,T14,,
1088.75,2025-12-01T18:08:45+00:00,W0440,wagon,arrived,T14,,
1088.75,2025-12-01T18:08:45+00:00,W11988,wagon,arrived,T14,,
1088.75,2025-12-01T18:08:45+00:00,W12260,wagon,arrived,T14,,
1088.75,2025-12-01T18:08:45+00:00,W0130,wagon,arrived,T14,,
1088.75,2025-12-01T18:08:45+00:00,W9352,wagon,arrived,T14,,
1088.75,2025-12-01T18:08:45+00:00,W2980,wagon,arrived,T14,,
1088.75,2025-12-01T18:08:45+00:00,W2406,wagon,arrived,T14,,
1088.75,2025-12-01T18:08:45+00:00,W2399,wagon,arrived,T14,,
1091.0,2025-12-01T18:11:00+00:00,W10704,wagon,in_workshop,,,
1091.0,2025-12-01T18:11:00+00:00,W3675,wagon,in_workshop,,,
1091.0,2025-12-01T18:11:00+00:00,LOCO_02,locomotive,moving,,,
1092.0,2025-12-01T18:12:00+00:00,LOCO_01,locomotive,moving,,,
1096.0,2025-12-01T18:16:00+00:00,LOCO_02,locomotive,assigned,,,
1096.0,2025-12-01T18:16:00+00:00,LOCO_02,locomotive,moving,,,
1097.0,2025-12-01T18:17:00+00:00,LOCO_01,locomotive,moving,,,
1103.0,2025-12-01T18:23:00+00:00,LOCO_02,locomotive,moving,,,
1151.0,2025-12-01T19:11:00+00:00,W10704,wagon,retrofitted,,,
1151.0,2025-12-01T19:11:00+00:00,W3675,wagon,retrofitted,,,
1157.0,2025-12-01T19:17:00+00:00,LOCO_01,locomotive,assigned,,,
1166.0,2025-12-01T19:26:00+00:00,LOCO_01,locomotive,moving,,,
1166.0,2025-12-01T19:26:00+00:00,W2238,wagon,moving,,,
1166.0,2025-12-01T19:26:00+00:00,W0047,wagon,moving,,,
1166.0,2025-12-01T19:26:00+00:00,W0049,wagon,moving,,,
1166.0,2025-12-01T19:26:00+00:00,W2535,wagon,moving,,,
1224.5,2025-12-01T20:24:30+00:00,W3926,wagon,parked,,,
1224.5,2025-12-01T20:24:30+00:00,W5834,wagon,parked,,,
1224.5,2025-12-01T20:24:30+00:00,LOCO_02,locomotive,moving,,,
1226.0,2025-12-01T20:26:00+00:00,W2238,wagon,queued,,,
1226.0,2025-12-01T20:26:00+00:00,W0047,wagon,queued,,,
1226.0,2025-12-01T20:26:00+00:00,W0049,wagon,queued,,,
1226.0,2025-12-01T20:26:00+00:00,W2535,wagon,queued,,,
1247.0,2025-12-01T20:47:00+00:00,LOCO_01,locomotive,moving,,,
1254.0,2025-12-01T20:54:00+00:00,LOCO_01,locomotive,moving,,,
1262.0,2025-12-01T21:02:00+00:00,LOCO_01,locomotive,moving,,,
1262.0,2025-12-01T21:02:00+00:00,W7132,wagon,moving,,,
1262.0,2025-12-01T21:02:00+00:00,W8934,wagon,moving,,,
1267.0,2025-12-01T21:07:00+00:00,W7132,wagon,in_workshop,,,
1267.0,2025-12-01T21:07:00+00:00,W8934,wagon,in_workshop,,,
1273.0,2025-12-01T21:13:00+00:00,W7132,wagon,in_workshop,,,
1273.0,2025-12-01T21:13:00+00:00,W8934,wagon,in_workshop,,,
1273.0,2025-12-01T21:13:00+00:00,LOCO_01,locomotive,moving,,,
1278.0,2025-12-01T21:18:00+00:00,LOCO_01,locomotive,moving,,,
1284.5,2025-12-01T21:24:30+00:00,LOCO_02,locomotive,moving,,,
1285.0,2025-12-01T21:25:00+00:00,LOCO_01,locomotive,moving,,,
1285.0,2025-12-01T21:25:00+00:00,W10704,wagon,moving,,,
1285.0,2025-12-01T21:25:00+00:00,W3675,wagon,moving,,,
1290.0,2025-12-01T21:30:00+00:00,LOCO_01,locomotive,moving,,,
1295.0,2025-12-01T21:35:00+00:00,LOCO_01,locomotive,assigned,,,
1295.0,2025-12-01T21:35:00+00:00,LOCO_01,locomotive,moving,,,
1302.0,2025-12-01T21:42:00+00:00,LOCO_01,locomotive,moving,,,
1333.0,2025-12-01T22:13:00+00:00,W7132,wagon,retrofitted,,,
1333.0,2025-12-01T22:13:00+00:00,W8934,wagon,retrofitted,,,
1344.5,2025-12-01T22:24:30+00:00,LOCO_02,locomotive,assigned,,,
1349.5,2025-12-01T22:29:30+00:00,LOCO_02,locomotive,moving,,,
1349.5,2025-12-01T22:29:30+00:00,W7970,wagon,moving,,,
1349.5,2025-12-01T22:29:30+00:00,W4849,wagon,moving,,,
1409.5,2025-12-01T23:29:30+00:00,W7970,wagon,queued,,,
1409.5,2025-12-01T23:29:30+00:00,W4849,wagon,queued,,,
1418.5,2025-12-01T23:38:30+00:00,LOCO_02,locomotive,moving,,,
1423.5,2025-12-01T23:43:30+00:00,W9460,wagon,parked,,,
1423.5,2025-12-01T23:43:30+00:00,W9445,wagon,parked,,,
1423.5,2025-12-01T23:43:30+00:00,LOCO_01,locomotive,moving,,,
1425.5,2025-12-01T23:45:30+00:00,LOCO_02,locomotive,moving,,,
1433.5,2025-12-01T23:53:30+00:00,LOCO_02,locomotive,moving,,,
1433.5,2025-12-01T23:53:30+00:00,W6253,wagon,moving,,,
1433.5,2025-12-01T23:53:30+00:00,W7747,wagon,moving,,,
1438.5,2025-12-01T23:58:30+00:00,W6253,wagon,in_workshop,,,
1438.5,2025-12-01T23:58:30+00:00,W7747,wagon,in_workshop,,,
1444.5,2025-12-02T00:04:30+00:00,W6253,wagon,in_workshop,,,
1444.5,2025-12-02T00:04:30+00:00,W7747,wagon,in_workshop,,,
1444.5,2025-12-02T00:04:30+00:00,LOCO_02,locomotive,moving,,,
1449.5,2025-12-02T00:09:30+00:00,LOCO_02,locomotive,moving,,,
1456.5,2025-12-02T00:16:30+00:00,LOCO_02,locomotive,moving,,,
1456.5,2025-12-02T00:16:30+00:00,W7132,wagon,moving,,,
1456.5,2025-12-02T00:16:30+00:00,W8934,wagon,moving,,,
1461.5,2025-12-02T00:21:30+00:00,LOCO_02,locomotive,moving,,,
1466.5,2025-12-02T00:26:30+00:00,LOCO_02,locomotive,moving,,,
1479.0,2025-12-02T00:39:00+00:00,W1078,wagon,rejected,T15,,No Retrofit Needed
1479.0,2025-12-02T00:39:00+00:00,W9868,wagon,arrived,T15,,
1479.0,2025-12-02T00:39:00+00:00,W12060,wagon,arrived,T15,,
1479.0,2025-12-02T00:39:00+00:00,W12210,wagon,arrived,T15,,
1479.0,2025-12-02T00:39:00+00:00,W8636,wagon,arrived,T15,,
1479.0,2025-12-02T00:39:00+00:00,W10949,wagon,arrived,T15,,
1479.0,2025-12-02T00:39:00+00:00,W8631,wagon,arrived,T15,,
1485.5,2025-12-02T00:45:30+00:00,LOCO_01,locomotive,moving,,,
1493.5,2025-12-02T00:53:30+00:00,LOCO_01,locomotive,moving,,,
1493.5,2025-12-02T00:53:30+00:00,W10546,wagon,moving,,,
1493.5,2025-12-02T00:53:30+00:00,W7222,wagon,moving,,,
1498.5,2025-12-02T00:58:30+00:00,W10546,wagon,in_workshop,,,
1498.5,2025-12-02T00:58:30+00:00,W7222,wagon,in_workshop,,,
1504.5,2025-12-02T01:04:30+00:00,W6253,wagon,retrofitted,,,
1504.5,2025-12-02T01:04:30+00:00,W7747,wagon,retrofitted,,,
1504.5,2025-12-02T01:04:30+00:00,W10546,wagon,in_workshop,,,
1504.5,2025-12-02T01:04:30+00:00,W7222,wagon,in_workshop,,,
1504.5,2025-12-02T01:04:30+00:00,LOCO_01,locomotive,moving,,,
1509.0,2025-12-02T01:09:00+00:00,W9392,wagon,arrived,T16,,
1509.0,2025-12-02T01:09:00+00:00,W9274,wagon,arrived,T16,,
1509.0,2025-12-02T01:09:00+00:00,W8613,wagon,arrived,T16,,
1509.0,2025-12-02T01:09:00+00:00,W10130,wagon,arrived,T16,,
1509.0,2025-12-02T01:09:00+00:00,W9721,wagon,arrived,T16,,
1509.0,2025-12-02T01:09:00+00:00,W9756,wagon,arrived,T16,,
1509.5,2025-12-02T01:09:30+00:00,LOCO_01,locomotive,moving,,,
1516.5,2025-12-02T01:16:30+00:00,LOCO_01,locomotive,moving,,,
1516.5,2025-12-02T01:16:30+00:00,W6253,wagon,moving,,,
1516.5,2025-12-02T01:16:30+00:00,W7747,wagon,moving,,,
1521.5,2025-12-02T01:21:30+00:00,LOCO_01,locomotive,moving,,,
1526.5,2025-12-02T01:26:30+00:00,LOCO_02,locomotive,assigned,,,
1526.5,2025-12-02T01:26:30+00:00,LOCO_01,locomotive,assigned,,,
1526.5,2025-12-02T01:26:30+00:00,LOCO_01,locomotive,moving,,,
1529.5,2025-12-02T01:29:30+00:00,LOCO_02,locomotive,moving,,,
1529.5,2025-12-02T01:29:30+00:00,W2967,wagon,moving,,,
1534.5,2025-12-02T01:34:30+00:00,LOCO_01,locomotive,moving,,,
1564.5,2025-12-02T02:04:30+00:00,W10546,wagon,retrofitted,,,
1564.5,2025-12-02T02:04:30+00:00,W7222,wagon,retrofitted,,,
1589.5,2025-12-02T02:29:30+00:00,W2967,wagon,queued,,,
1592.5,2025-12-02T02:32:30+00:00,LOCO_02,locomotive,moving,,,
1599.5,2025-12-02T02:39:30+00:00,LOCO_02,locomotive,moving,,,
1602.5,2025-12-02T02:42:30+00:00,W3926,wagon,rejected,T17,,No Retrofit Needed
1602.5,2025-12-02T02:42:30+00:00,W11467,wagon,arrived,T17,,
