timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
1672.5,2025-12-02T03:52:30+00:00,LOCO_01,ALLOCATED,,,batch_transport
1672.5,2025-12-02T03:52:30+00:00,LOCO_01,MOVING,track_19,retrofitted,
1682.5,2025-12-02T04:02:30+00:00,LOCO_01,MOVING,retrofitted,parking16,
1697.5,2025-12-02T04:17:30+00:00,LOCO_02,MOVING,retrofit,track_19,
1702.5,2025-12-02T04:22:30+00:00,LOCO_02,PARKING,,,
1702.5,2025-12-02T04:22:30+00:00,LOCO_02,MOVING,track_19,WS_02,
1709.5,2025-12-02T04:29:30+00:00,LOCO_02,MOVING,WS_02,retrofitted,
1714.5,2025-12-02T04:34:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1721.5,2025-12-02T04:41:30+00:00,LOCO_02,MOVING,track_19,retrofit,
1729.5,2025-12-02T04:49:30+00:00,LOCO_02,MOVING,retrofit,WS_02,
1740.5,2025-12-02T05:00:30+00:00,LOCO_02,MOVING,WS_02,track_19,
1745.5,2025-12-02T05:05:30+00:00,LOCO_02,MOVING,track_19,WS_01,
1752.5,2025-12-02T05:12:30+00:00,LOCO_02,MOVING,WS_01,retrofitted,
1757.5,2025-12-02T05:17:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1762.5,2025-12-02T05:22:30+00:00,LOCO_02,MOVING,track_19,collection2,
1810.0,2025-12-02T06:10:00+00:00,LOCO_01,MOVING,parking16,track_19,
1822.5,2025-12-02T06:22:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1829.5,2025-12-02T06:29:30+00:00,LOCO_02,MOVING,collection2,retrofit,
1870.0,2025-12-02T07:10:00+00:00,LOCO_01,MOVING,track_19,WS_02,
1877.0,2025-12-02T07:17:00+00:00,LOCO_01,MOVING,WS_02,retrofitted,
1882.0,2025-12-02T07:22:00+00:00,LOCO_01,MOVING,retrofitted,track_19,
1889.0,2025-12-02T07:29:00+00:00,LOCO_01,MOVING,track_19,retrofit,
1897.0,2025-12-02T07:37:00+00:00,LOCO_01,MOVING,retrofit,WS_01,
1904.5,2025-12-02T07:44:30+00:00,LOCO_02,MOVING,retrofit,track_19,
