timestamp,datetime,wagon_id,train_id,event,track_id,status,rejection_reason,rejection_description
12064.5,2025-12-09T09:04:30+00:00,W0948,,MOVING,WS_02,MOVING,,
12069.5,2025-12-09T09:09:30+00:00,W10772,,ON_RETROFITTED_TRACK,retrofitted,WAITING,,
12069.5,2025-12-09T09:09:30+00:00,W0948,,ON_RETROFITTED_TRACK,retrofitted,WAITING,,
12084.5,2025-12-09T09:24:30+00:00,W5316,,MOVING,retrofit,MOVING,,
12084.5,2025-12-09T09:24:30+00:00,W9358,,MOVING,retrofit,MOVING,,
12088.5,2025-12-09T09:28:30+00:00,W4457,,ON_RETROFIT_TRACK,retrofit,WAITING,,
12089.5,2025-12-09T09:29:30+00:00,W5316,,AT_WORKSHOP,WS_01,ARRIVED,,
12089.5,2025-12-09T09:29:30+00:00,W9358,,AT_WORKSHOP,WS_01,ARRIVED,,
12095.5,2025-12-09T09:35:30+00:00,W5316,,RETROFIT_STARTED,WS_01,PROCESSING,,
12095.5,2025-12-09T09:35:30+00:00,W9358,,RETROFIT_STARTED,WS_01,PROCESSING,,
12110.5,2025-12-09T09:50:30+00:00,W9043,,MOVING,retrofit,MOVING,,
12110.5,2025-12-09T09:50:30+00:00,W2149,,MOVING,retrofit,MOVING,,
12115.5,2025-12-09T09:55:30+00:00,W9043,,AT_WORKSHOP,WS_02,ARRIVED,,
12115.5,2025-12-09T09:55:30+00:00,W2149,,AT_WORKSHOP,WS_02,ARRIVED,,
12121.5,2025-12-09T10:01:30+00:00,W9043,,RETROFIT_STARTED,WS_02,PROCESSING,,
12121.5,2025-12-09T10:01:30+00:00,W2149,,RETROFIT_STARTED,WS_02,PROCESSING,,
12155.5,2025-12-09T10:35:30+00:00,W5316,,RETROFIT_COMPLETED,WS_01,COMPLETED,,
12155.5,2025-12-09T10:35:30+00:00,W9358,,RETROFIT_COMPLETED,WS_01,COMPLETED,,
12159.5,2025-12-09T10:39:30+00:00,W2736,,MOVING,collection1,MOVING,,
12181.5,2025-12-09T11:01:30+00:00,W9043,,RETROFIT_COMPLETED,WS_02,COMPLETED,,
12181.5,2025-12-09T11:01:30+00:00,W2149,,RETROFIT_COMPLETED,WS_02,COMPLETED,,
12186.5,2025-12-09T11:06:30+00:00,W5821,,RAKE_COUPLING_STARTED,collection2,COUPLING,,
12186.5,2025-12-09T11:06:30+00:00,W12186,,RAKE_COUPLING_STARTED,collection2,COUPLING,,
12191.5,2025-12-09T11:11:30+00:00,W5821,,MOVING,collection2,MOVING,,
12191.5,2025-12-09T11:11:30+00:00,W12186,,MOVING,collection2,MOVING,,
12205.25,2025-12-09T11:25:15+00:00,W11513,T159,REJECTED,REJECTED,REJECTED,NO_COLLECTION_TRACK,No collection track available
12205.25,2025-12-09T11:25:15+00:00,W3087,T159,REJECTED,REJECTED,REJECTED,NO_COLLECTION_TRACK,No collection track available
