timestamp,datetime,wagon_id,train_id,rejection_type,detailed_reason,track_id
5566.25,2025-12-04T20:46:15+00:00,W2898,T81,TRACK_FULL,No collection track available,
5566.25,2025-12-04T20:46:15+00:00,W2586,T81,TRACK_FULL,No collection track available,
5724.0,2025-12-04T23:24:00+00:00,W11482,T82,TRACK_FULL,No collection track available,
5724.0,2025-12-04T23:24:00+00:00,W11252,T82,TRACK_FULL,No collection track available,
5724.0,2025-12-04T23:24:00+00:00,W5452,T82,TRACK_FULL,No collection track available,
5724.0,2025-12-04T23:24:00+00:00,W6800,T82,TRACK_FULL,No collection track available,
5758.0,2025-12-04T23:58:00+00:00,W0678,T83,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5758.0,2025-12-04T23:58:00+00:00,W8380,T83,TRACK_FULL,No collection track available,
5758.0,2025-12-04T23:58:00+00:00,W8378,T83,TRACK_FULL,No collection track available,
5768.0,2025-12-05T00:08:00+00:00,W10354,T84,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5768.0,2025-12-05T00:08:00+00:00,W10321,T84,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5775.25,2025-12-05T00:15:15+00:00,W9397,T85,TRACK_FULL,No collection track available,
5775.25,2025-12-05T00:15:15+00:00,W9591,T85,TRACK_FULL,No collection track available,
5775.25,2025-12-05T00:15:15+00:00,W9573,T85,TRACK_FULL,No collection track available,
5775.25,2025-12-05T00:15:15+00:00,W10336,T85,TRACK_FULL,No collection track available,
5775.25,2025-12-05T00:15:15+00:00,W9517,T85,TRACK_FULL,No collection track available,
5775.25,2025-12-05T00:15:15+00:00,W9543,T85,TRACK_FULL,No collection track available,
5775.25,2025-12-05T00:15:15+00:00,W9544,T85,TRACK_FULL,No collection track available,
5822.25,2025-12-05T01:02:15+00:00,W6592,T86,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5822.25,2025-12-05T01:02:15+00:00,W6682,T86,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5850.25,2025-12-05T01:30:15+00:00,W11259,T87,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5903.5,2025-12-05T02:23:30+00:00,W9868,T88,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5903.5,2025-12-05T02:23:30+00:00,W8631,T88,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5903.5,2025-12-05T02:23:30+00:00,W2548,T88,TRACK_FULL,No collection track available,
5903.5,2025-12-05T02:23:30+00:00,W9948,T88,TRACK_FULL,No collection track available,
5903.5,2025-12-05T02:23:30+00:00,W9708,T88,TRACK_FULL,No collection track available,
5903.5,2025-12-05T02:23:30+00:00,W0630,T88,TRACK_FULL,No collection track available,
5903.5,2025-12-05T02:23:30+00:00,W9491,T88,TRACK_FULL,No collection track available,
5923.75,2025-12-05T02:43:45+00:00,W10581,T89,TRACK_FULL,No collection track available,
5923.75,2025-12-05T02:43:45+00:00,W11344,T89,TRACK_FULL,No collection track available,
5923.75,2025-12-05T02:43:45+00:00,W10258,T89,TRACK_FULL,No collection track available,
5923.75,2025-12-05T02:43:45+00:00,W5310,T89,TRACK_FULL,No collection track available,
6067.5,2025-12-05T05:07:30+00:00,W9489,T90,TRACK_FULL,No collection track available,
6067.5,2025-12-05T05:07:30+00:00,W2712,T90,TRACK_FULL,No collection track available,
6067.5,2025-12-05T05:07:30+00:00,W0943,T90,TRACK_FULL,No collection track available,
6475.5,2025-12-05T11:55:30+00:00,W2136,T91,TRACK_FULL,No collection track available,
6595.0,2025-12-05T13:55:00+00:00,W9081,T92,TRACK_FULL,No collection track available,
