timestamp,datetime,locomotive_id,event_type,location,from_location,to_location,purpose,coupler_type,wagon_count,duration_min
1100.0,2025-12-01T18:20:00+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
1100.0,2025-12-01T18:20:00+00:00,LOCO_01,MOVING,retrofitted,track_19,retrofitted,,,0,5.0
1105.0,2025-12-01T18:25:00+00:00,LOCO_01,RAKE_COUPLING_STARTED,retrofitted,,,,DAC,2,0.5
1105.5,2025-12-01T18:25:30+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,retrofitted,,,,DAC,2,0.5
1105.5,2025-12-01T18:25:30+00:00,LOCO_01,LOCO_COUPLING_STARTED,retrofitted,,,,DAC,2,0.5
1106.0,2025-12-01T18:26:00+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,retrofitted,,,,DAC,2,0.5
1106.0,2025-12-01T18:26:00+00:00,LOCO_01,SHUNTING_PREP,retrofitted,,,,,2,1.0
1107.0,2025-12-01T18:27:00+00:00,LOCO_01,MOVING,parking16,retrofitted,parking16,,,0,120.0
1227.0,2025-12-01T20:27:00+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,parking16,,,,DAC,2,0.5
1227.5,2025-12-01T20:27:30+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,parking16,,,,DAC,2,0.5
1227.5,2025-12-01T20:27:30+00:00,LOCO_01,RAKE_DECOUPLING_STARTED,parking16,,,,DAC,2,0.5
1228.0,2025-12-01T20:28:00+00:00,LOCO_01,RAKE_DECOUPLING_COMPLETED,parking16,,,,DAC,2,0.5
1228.5,2025-12-01T20:28:30+00:00,LOCO_01,MOVING,track_19,parking16,track_19,,,0,60.0
1288.5,2025-12-01T21:28:30+00:00,LOCO_01,MOVING,WS_01,track_19,WS_01,,,0,5.0
1293.5,2025-12-01T21:33:30+00:00,LOCO_01,RAKE_COUPLING_STARTED,WS_01,,,,DAC,2,0.5
1294.0,2025-12-01T21:34:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,WS_01,,,,DAC,2,0.5
1294.0,2025-12-01T21:34:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,WS_01,,,,DAC,2,0.5
1294.5,2025-12-01T21:34:30+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,WS_01,,,,DAC,2,0.5
1294.5,2025-12-01T21:34:30+00:00,LOCO_01,SHUNTING_PREP,WS_01,,,,,2,1.0
1295.5,2025-12-01T21:35:30+00:00,LOCO_01,MOVING,retrofitted,WS_01,retrofitted,,,0,5.0
1300.5,2025-12-01T21:40:30+00:00,LOCO_01,MOVING,track_19,retrofitted,track_19,,,0,5.0
1305.5,2025-12-01T21:45:30+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
1305.5,2025-12-01T21:45:30+00:00,LOCO_01,MOVING,retrofitted,track_19,retrofitted,,,0,5.0
1310.5,2025-12-01T21:50:30+00:00,LOCO_01,RAKE_COUPLING_STARTED,retrofitted,,,,DAC,2,0.5
1311.0,2025-12-01T21:51:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,retrofitted,,,,DAC,2,0.5
1311.0,2025-12-01T21:51:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,retrofitted,,,,DAC,2,0.5
1311.5,2025-12-01T21:51:30+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,retrofitted,,,,DAC,2,0.5
